Variant Grouping,_Identifier,Lineage Grouped,%CT Count of Sample #,Collection (week)
Alpha,Alpha,B.1.1.7,0.001,2020-04-05
Alpha,Alpha,B.1.1.7,0.001,2020-04-19
Alpha,Alpha,B.1.1.7,0.008,2020-05-10
Alpha,Alpha,B.1.1.7,0.008,2020-05-17
Alpha,Alpha,B.1.1.7,0.002,2020-05-31
Alpha,Alpha,B.1.1.7,0.006,2020-07-05
Alpha,Alpha,B.1.1.7,0.001,2020-11-01
Alpha,Alpha,B.1.1.7,0.001,2020-11-08
Alpha,Alpha,B.1.1.7,0.002,2020-11-29
Alpha,Alpha,B.1.1.7,0.004,2020-12-13
Alpha,Alpha,B.1.1.7,0.004,2020-12-20
Alpha,Alpha,B.1.1.7,0.013,2020-12-27
Alpha,Alpha,B.1.1.7,0.014,2021-01-03
Alpha,Alpha,B.1.1.7,0.027,2021-01-10
Alpha,Alpha,B.1.1.7,0.052,2021-01-17
Alpha,Alpha,B.1.1.7,0.078,2021-01-24
Alpha,Alpha,B.1.1.7,0.148,2021-01-31
Alpha,Alpha,B.1.1.7,0.24,2021-02-07
Alpha,Alpha,B.1.1.7,0.275,2021-02-14
Alpha,Alpha,B.1.1.7,0.328,2021-02-21
Alpha,Alpha,B.1.1.7,0.387,2021-02-28
Alpha,Alpha,B.1.1.7,0.355,2021-03-07
Alpha,Alpha,B.1.1.7,0.435,2021-03-14
Alpha,Alpha,B.1.1.7,0.444,2021-03-21
Alpha,Alpha,B.1.1.7,0.424,2021-03-28
Alpha,Alpha,B.1.1.7,0.398,2021-04-04
Alpha,Alpha,B.1.1.7,0.477,2021-04-11
Alpha,Alpha,B.1.1.7,0.56,2021-04-18
Alpha,Alpha,B.1.1.7,0.536,2021-04-25
Alpha,Alpha,B.1.1.7,0.599,2021-05-02
Alpha,Alpha,B.1.1.7,0.603,2021-05-09
Alpha,Alpha,B.1.1.7,0.564,2021-05-16
Alpha,Alpha,B.1.1.7,0.575,2021-05-23
Alpha,Alpha,B.1.1.7,0.574,2021-05-30
Alpha,Alpha,B.1.1.7,0.522,2021-06-06
Alpha,Alpha,B.1.1.7,0.432,2021-06-13
Alpha,Alpha,B.1.1.7,0.422,2021-06-20
Alpha,Alpha,B.1.1.7,0.27,2021-06-27
Alpha,Alpha,B.1.1.7,0.204,2021-07-04
Alpha,Alpha,B.1.1.7,0.138,2021-07-11
Alpha,Alpha,B.1.1.7,0.087,2021-07-18
Alpha,Alpha,B.1.1.7,0.057,2021-07-25
Alpha,Alpha,B.1.1.7,0.041,2021-08-01
Alpha,Alpha,B.1.1.7,0.023,2021-08-08
Alpha,Alpha,B.1.1.7,0.013,2021-08-15
Alpha,Alpha,B.1.1.7,0.006,2021-08-22
Alpha,Alpha,B.1.1.7,0.008,2021-08-29
Alpha,Alpha,B.1.1.7,0.005,2021-09-05
Alpha,Alpha,B.1.1.7,0.003,2021-09-12
Alpha,Alpha,B.1.1.7,0.002,2021-09-19
Alpha,Alpha,B.1.1.7,0,2021-09-26
Alpha,Alpha,B.1.1.7,0.001,2021-10-03
Alpha,Alpha,B.1.1.7,0.001,2021-10-10
Alpha,Alpha,B.1.1.7,0,2021-10-24
Alpha,Alpha,B.1.1.7,0,2021-10-31
Alpha,Alpha,B.1.1.7,0,2021-11-14
Alpha,Alpha,Q.1,0,2021-03-21
Alpha,Alpha,Q.1,0,2021-04-18
Alpha,Alpha,Q.1,0,2021-04-25
Alpha,Alpha,Q.1,0.001,2021-05-02
Alpha,Alpha,Q.1,0.001,2021-05-09
Alpha,Alpha,Q.1,0,2021-05-16
Alpha,Alpha,Q.1,0.001,2021-05-23
Alpha,Alpha,Q.1,0,2021-06-06
Alpha,Alpha,Q.1,0,2021-08-08
Alpha,Alpha,Q.3,0,2021-04-18
Alpha,Alpha,Q.3,0,2021-04-25
Alpha,Alpha,Q.3,0,2021-05-02
Alpha,Alpha,Q.3,0,2021-05-09
Alpha,Alpha,Q.3,0,2021-05-16
Alpha,Alpha,Q.3,0.001,2021-05-23
Alpha,Alpha,Q.4,0.001,2021-01-10
Alpha,Alpha,Q.4,0,2021-03-07
Alpha,Alpha,Q.4,0,2021-03-14
Alpha,Alpha,Q.4,0,2021-03-21
Beta,Beta,B.1.351,0.001,2020-12-13
Beta,Beta,B.1.351,0.005,2020-12-20
