Entry ID,Jurisdiction,Intervention category,Intervention type,Description,Organization,Date
"CAN026","Canada","Distancing","Work from home","Recommendation for the adoption of work-from-home policies issued","Government of Canada","March 10, 2020"
"CAN168","Canada","Closures/openings","Education","$112 million in funding announced to support a safe return to elementary and secondary school on reserves","Indigenous Services Canada","August 26, 2020"
"CAN169","Canada","Closures/openings","Education","$2 billion in funding announced for provinces and territories through the Safe Return To Class Fund","Prime Minister","August 26, 2020"
"CAN252","Canada","Distancing","Work from home","Members of the House of Commons may participate in House proceedings either in person or by video conference","House of Commons","January 25, 2021"
"NL001","Newfoundland and Labrador","Closures/openings","Recreation","Recreational facilities and entertainment/arts venues closed","Government of Newfoundland and Labrador","March 14, 2020"
"NL007","Newfoundland and Labrador","Closures/openings","Daycares","Daycares closed (with exceptions)","Minister of Education and Early Childhood Development","March 16, 2020"
"NL009","Newfoundland and Labrador","Closures/openings","Education","Schools closed","Newfoundland and Labrador English School District","March 17, 2020"
"NL010","Newfoundland and Labrador","Closures/openings","Education","First post-secondary school closure in province","Memorial University","March 18, 2020"
"NL014","Newfoundland and Labrador","Closures/openings","Non-essential services","Non-essential businesses closed","Government of Newfoundland and Labrador","March 18, 2020"
"NL015","Newfoundland and Labrador","Closures/openings","Non-essential services","Bars and restaurants (except takeout/delivery) closed","Government of Newfoundland and Labrador","March 18, 2020"
"NL017","Newfoundland and Labrador","Distancing","Gatherings","Gatherings of more than 50 people prohibited","Government of Newfoundland and Labrador","March 18, 2020"
"NL019","Newfoundland and Labrador","Distancing","Gatherings","Gatherings of more than 10 people prohibited","Chief Medical Officer of Health","March 23, 2020"
"NL021","Newfoundland and Labrador","Closures/openings","Health services","Order to close private health clinics issued","Chief Medical Officer of Health","March 24, 2020"
"NL035","Newfoundland and Labrador","Closures/openings","Health services","Non-essential optometry services suspended","Newfoundland and Labrador College of Optometrists","March 18, 2020"
"NL052","Newfoundland and Labrador","Distancing","Gatherings","Limitations on social gatherings relaxed to allow gatherings of 2 households","Chief Medical Officer of Health, Department of Health and Community Services","April 30, 2020"
"NL054","Newfoundland and Labrador","Distancing","Gatherings","Gatherings of more than 5 people prohibited","Chief Medical Officer of Health","March 31, 2020"
"NL062","Newfoundland and Labrador","Closures/openings","Recreation","Outdoor recreational facilities and businesses reopened","Department of Health and Community Services","May 11, 2020"
"NL064","Newfoundland and Labrador","Closures/openings","Daycares","Daycares reopened at 50% capacity","Department of Health and Community Services","May 11, 2020"
"NL065","Newfoundland and Labrador","Closures/openings","Non-essential services","Select non-essential businesses reopened","Department of Health and Community Services","May 11, 2020"
"NL073","Newfoundland and Labrador","Closures/openings","Daycares","Daycare capacity limit relaxed from 50% to 70%","Department of Health and Community Services","June  8, 2020"
"NL074","Newfoundland and Labrador","Closures/openings","Non-essential services","Service NL locations reopened","Department of Finance","June  8, 2020"
"NL075","Newfoundland and Labrador","Distancing","Gatherings","Outdoor gatherings of 20, indoor ceremonial gatherings of 20 and expanded household bubbles permitted","Department of Health and Community Services","June  8, 2020"
"NL077","Newfoundland and Labrador","Closures/openings","Daycares","Summer day camps opened","Department of Health and Community Services","June  8, 2020"
"NL079","Newfoundland and Labrador","Closures/openings","Health services","Private health clinics reopened","Department of Health and Community Services","June  8, 2020"
"NL081","Newfoundland and Labrador","Closures/openings","Non-essential services","Retail stores, personal service businesses and restaurant in-person dining reopened","Department of Health and Community Services","June  8, 2020"
"NL094","Newfoundland and Labrador","Closures/openings","Recreation","Outdoor pools opened, campgrounds opened for overnight access, and medium-risk outdoor activities resumed","Department of Health and Community Services","June  8, 2020"
"NL096","Newfoundland and Labrador","Closures/openings","Non-essential services","Places of worship, bars and lounges reopened","Department of Health and Community Services","June 25, 2020"
"NL097","Newfoundland and Labrador","Closures/openings","Recreation","Fitness facilities, indoor and outdoor entertainment facilities reopened","Department of Health and Community Services","June 25, 2020"
"NL106","Newfoundland and Labrador","Closures/openings","Education","Newfoundland and Labrador K-12 Education Re-entry Plan released with aim of full-time in-person K-12 learning","Premier, Minister of Education and Early Childhood Development","July  6, 2020"
"NL108","Newfoundland and Labrador","Closures/openings","Non-essential services","Amended Special Measures Order to stipulate that bars may only operate at 50% capacity","Department of Health and Community Services","July  8, 2020"
"NL123","Newfoundland and Labrador","Closures/openings","Daycares","Child care centres permitted to operate at full capacity","Department of Health and Community Services","June 25, 2020"
"NL128","Newfoundland and Labrador","Distancing","Gatherings","Indoor and outdoor gatherings by government-recognized organizations expanded to 100 people, with contact tracing measures in place","Department of Health and Community Services","August 24, 2020"
"NL134","Newfoundland and Labrador","Closures/openings","Recreation","Arts and culture centres and libraries for in-person services reopened","Department of Tourism, Culture, Arts and Recreation","September  8, 2020"
"NL136","Newfoundland and Labrador","Closures/openings","Education","Public schools opened for 1st day of K-12 with near-normal in-person learning","Department of Education and Early Childhood Development","September  9, 2020"
"NL137","Newfoundland and Labrador","Closures/openings","Education","Guidance document, Newfoundland and Labrador Public Health Guidance for K-12 Schools, released; masks required in buses and common areas","Department of Education and Early Childhood Development","August 17, 2020"
"NL139","Newfoundland and Labrador","Closures/openings","Recreation","Select libraries opened for curbside services","Newfoundland and Labrador Public Libraries","June 23, 2020"
"NL155","Newfoundland and Labrador","Distancing","Gatherings","Gatherings limited to 20 people with social distancing","Department of Health and Community Services","December 10, 2020"
"NL174","Newfoundland and Labrador","Closures/openings","Recreation","Close contact group sports and arts activities suspended; individual activities and private lessons permitted (St. John's metro region)","Department of Health and Community Services","February  8, 2021"
"NL176","Newfoundland and Labrador","Closures/openings","Recreation","Gym and fitness facilities, sports facilities, performance spaces, bingo halls and cinemas closed (St. John's metro region)","Department of Health and Community Services","February 10, 2021"
"NL177","Newfoundland and Labrador","Closures/openings","Non-essential services","Restaurants limited to 50% capacity; bars/lounges closed (St. John's metro region)","Department of Health and Community Services","February 10, 2021"
"NL178","Newfoundland and Labrador","Distancing","Gatherings","Organized indoor/outdoor gatherings limited to 20 people; informal gatherings limited to household bubbles only (St. John's metro region)","Department of Health and Community Services","February 10, 2021"
"NL179","Newfoundland and Labrador","Distancing","Gatherings","Organized indoor/outdoor gatherings limited to 10 people (St. John's metro region)","Department of Health and Community Services","February 11, 2021"
"NL180","Newfoundland and Labrador","Closures/openings","Education","Announced K–12 and post-secondary schools closed (St. John's metro region)","Department of Health and Community Services","February 11, 2021"
"NL181","Newfoundland and Labrador","Closures/openings","Non-essential services","Restaurants limited to takeout/delivery; non-essential businesses limited to curbside service (St. John's metro region)","Department of Health and Community Services","February 11, 2021"
"NL182","Newfoundland and Labrador","Closures/openings","Recreation","Close contact group sports and arts activities suspended","Department of Health and Community Services","February 11, 2021"
