"","date_report","NL_new_cases","NL_import","NL_contacts","NS_new_cases","NS_import","NS_contacts","NB_new_cases","NB_import","NB_contacts","PEI_new_cases","PEI_import","PEI_contacts","YT_new_cases","YT_import","YT_contacts","NWT_new_cases","NWT_import","NWT_contacts","NU_new_cases","NU_import","NU_contacts"
"1",2020-07-02,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2020-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2020-07-04,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
"4",2020-07-05,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"5",2020-07-06,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2020-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2020-07-08,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2020-07-09,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"9",2020-07-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2020-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2020-07-12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"12",2020-07-13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"13",2020-07-14,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"14",2020-07-15,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2020-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2020-07-17,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"17",2020-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2020-07-19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"19",2020-07-20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"20",2020-07-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2020-07-22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2020-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2020-07-24,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"24",2020-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",2020-07-26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2020-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2020-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2020-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
